#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
5.2252340000e+09, -3.3244920000e-03, 3.0571490000e-03, -4.6904037458e+01, -1.9076902709e+03, 1.4118960000e-02, -3.7302360000e-02, -2.7983813893e+01, -1.2089603073e+00, 4.7158850000e-03, -6.6165890000e-02, -2.3565310801e+01, -1.1073402571e+03, 0.0000000000e+00
5.2279320000e+09, 6.2454160000e-04, 4.4630270000e-03, -4.6923186838e+01, -1.9086565710e+03, 1.4208980000e-02, -3.7061180000e-02, -2.8026019430e+01, -1.2046881892e+00, -2.3582570000e-02, -5.5785490000e-02, -2.4355519066e+01, -1.1078113624e+03, 0.0000000000e+00
5.2306300000e+09, 4.1234660000e-03, 1.9072390000e-03, -4.6852791036e+01, -1.9096551060e+03, 1.4528930000e-02, -3.7000970000e-02, -2.8012984997e+01, -1.1966304833e+00, -3.4615290000e-02, -3.0031640000e-02, -2.6777563642e+01, -1.1082675929e+03, 0.0000000000e+00
5.2333280000e+09, 3.7888970000e-03, -2.3949900000e-03, -4.6969829352e+01, -1.9106520274e+03, 1.4871130000e-02, -3.7006510000e-02, -2.7984302056e+01, -1.1886946522e+00, -2.3906300000e-02, -5.9085980000e-03, -3.2172245431e+01, -1.1087399061e+03, 0.0000000000e+00
5.2360260000e+09, 1.0927400000e-04, -4.5711240000e-03, -4.6797058830e+01, -1.9116352290e+03, 1.5005870000e-02, -3.7340880000e-02, -2.7906143672e+01, -1.1886860558e+00, -3.1165600000e-04, 1.8400870000e-03, -5.4580403372e+01, -1.1103852250e+03, 0.0000000000e+00
5.2387240000e+09, -3.6504700000e-03, -2.5834100000e-03, -4.6989713409e+01, -1.9126140560e+03, 1.4911350000e-02, -3.7722920000e-02, -2.7837372035e+01, -1.1943601570e+00, 1.9740240000e-02, -1.0294400000e-02, -3.3048233591e+01, -1.1126044933e+03, 0.0000000000e+00
5.2414220000e+09, -4.2350930000e-03, 1.7538210000e-03, -4.6775346578e+01, -1.9136225421e+03, 1.4745990000e-02, -3.7923050000e-02, -2.7810440727e+01, -1.1999477059e+00, 2.3094130000e-02, -3.2088900000e-02, -2.8060309237e+01, -1.1130707754e+03, 0.0000000000e+00
5.2441200000e+09, -9.0729660000e-04, 4.4356250000e-03, -4.6882894379e+01, -1.9145989579e+03, 1.4374540000e-02, -3.7862340000e-02, -2.7851073785e+01, -1.2079528206e+00, 9.1579950000e-03, -4.7944790000e-02, -2.6229540100e+01, -1.1135058579e+03, 0.0000000000e+00
5.2468180000e+09, 3.1210110000e-03, 3.1998220000e-03, -4.6994138522e+01, -1.9155736527e+03, 1.4168670000e-02, -3.7694790000e-02, -2.7900433014e+01, -1.2112554809e+00, -1.1613450000e-02, -4.7537600000e-02, -2.6207496775e+01, -1.1139342028e+03, 0.0000000000e+00
5.2495160000e+09, 4.4469950000e-03, -9.7131260000e-04, -4.6836267512e+01, -1.9165865614e+03, 1.4148910000e-02, -3.7262050000e-02, -2.7989712195e+01, -1.2078995359e+00, -2.5022260000e-02, -3.1461250000e-02, -2.7915791368e+01, -1.1143664862e+03, 0.0000000000e+00
5.2522140000e+09, 1.6079240000e-03, -4.1715660000e-03, -4.6992440767e+01, -1.9175744156e+03, 1.4445550000e-02, -3.7053430000e-02, -2.8008949441e+01, -1.1990641238e+00, -2.1861510000e-02, -1.0665180000e-02, -3.2279192146e+01, -1.1148115100e+03, 0.0000000000e+00
5.2549120000e+09, -2.6376420000e-03, -3.6714900000e-03, -4.6895829796e+01, -1.9185652914e+03, 1.4821310000e-02, -3.7102920000e-02, -2.7968860570e+01, -1.1907514261e+00, -4.9083690000e-03, 7.7158350000e-04, -4.6075241653e+01, -1.1154213136e+03, 0.0000000000e+00
5.2576100000e+09, -4.5749280000e-03, 1.6975090000e-04, -4.6786339684e+01, -1.9195501989e+03, 1.5038120000e-02, -3.7384130000e-02, -2.7894893336e+01, -1.1883436570e+00, 1.4254530000e-02, -3.1434490000e-03, -3.6714717890e+01, -1.1123408483e+03, 0.0000000000e+00
5.2603080000e+09, -2.3478030000e-03, 3.8285710000e-03, -4.6952911987e+01, -1.9205338154e+03, 1.5074310000e-02, -3.7838020000e-02, -2.7801665515e+01, -1.1916781670e+00, 2.3786340000e-02, -1.7864670000e-02, -3.0530879384e+01, -1.1127679705e+03, 0.0000000000e+00
5.2630060000e+09, 1.9026850000e-03, 4.0914530000e-03, -4.6912180058e+01, -1.9215191974e+03, 1.4692090000e-02, -3.8065660000e-02, -2.7786243731e+01, -1.2024455562e+00, 2.1055120000e-02, -3.2866130000e-02, -2.8171573763e+01, -1.1131248337e+03, 0.0000000000e+00
